project,last_updated,Barcodes,Geno,Nitrogen,rep,Leaf_no,Photo,Cond,Tleaf,Trans,VpdL,lma_gm2,d13c,d15n,cent_n,cent_c,n_mass_mg_per_g,n_area_gm2,c_mass_mg_per_g,c_area_gm2
cousins_pheno_0,2019/01/17 08:11:28,Fa002AB031371,E02,50,1,6,20.40450046,0.126081656,32.02236462,0.003126433,2.478621246,25.41344905,-15.95,-1.31,2.573,44.317,25.73,0.653888044,443.17,11.26247822
cousins_pheno_0,2019/01/17 08:11:28,Fa002AB031401,E02,50,2,5,24.06858842,0.185534563,31.99082995,0.003786388,2.059381583,22.21007312,-15.78,-1.44,2.333,40.482,23.33,0.518161006,404.82,8.9910818
cousins_pheno_0,2019/01/17 08:11:28,Fa002AB031581,E02,50,8,5,22.31670727,0.147057342,32.16169739,0.003707399,2.503751636,26.90835782,-15.33,-1.74,2.58,43.433,25.8,0.694235632,434.33,11.68710705
cousins_pheno_0,2019/01/17 08:11:28,Fa003AA031192,E03,10,1,5,23.00702827,0.131284809,31.95692206,0.002893967,2.179477913,43.35235427,-15.49,-1.95,1.845459113,40.17738424,18.45459113,0.800049973,401.7738424,17.41784195
cousins_pheno_0,2019/01/17 08:11:28,Fa003AA031222,E03,10,2,5,20.20631742,0.11142483,31.96774769,0.002585833,2.283564931,36.09136882,-15.46,-1.82,2.258134911,42.87905799,22.58134911,0.814991799,428.7905799,15.47563897
cousins_pheno_0,2019/01/17 08:11:28,Fa003AA031252,E03,10,3,4,20.3065513,0.103638233,32.06690216,0.002576498,2.435151433,33.10155129,-15.42,-1.61,1.966112903,43.94088387,19.66112903,0.650813871,439.4088387,14.54511421
cousins_pheno_0,2019/01/17 08:11:28,Fa003AC031642,E03,100,1,4,22.15162517,0.122599897,32.07349142,0.003225043,2.592428576,41.00321192,-15.26,-0.52,1.917551042,41.05815104,19.17551042,0.786257517,410.5815104,16.83516068
cousins_pheno_0,2019/01/17 08:11:28,Fa003AC031672,E03,100,2,6,22.67256532,0.126388517,32.05672073,0.002649572,2.095045749,38.22695278,-16.02,-5.22,3.928,48.107,39.28,1.501554705,481.07,18.38984017
cousins_pheno_0,2019/01/17 08:11:28,Fa003AC031702,E03,100,3,6,26.93329962,0.16051151,31.95320892,0.003426648,2.157113304,32.6744345,-15.74,-5.34,4.258336601,48.6640098,42.58336601,1.391387403,486.640098,15.90069001
cousins_pheno_0,2019/01/17 08:11:28,Fa003AB031402,E03,50,2,6,18.51911867,0.114048183,32.07053757,0.002518836,2.189176979,35.66425203,-14.82,-1.14,2.146,41.509,21.46,0.765354849,415.09,14.80387438
cousins_pheno_0,2019/01/17 08:11:28,Fa003AB031432,E03,50,3,4,11.42653546,0.060752393,32.01316389,0.001660993,2.658666851,26.26768264,-15.6,-0.28,1.949,43.395,19.49,0.511957135,433.95,11.39886088
cousins_pheno_0,2019/01/17 08:11:28,Fa003AB031432,E03,50,3,5,18.52301101,0.104624024,32.08450031,0.00236851,2.236107275,26.26768264,-15.6,-0.28,1.949,43.395,19.49,0.511957135,433.95,11.39886088
cousins_pheno_0,2019/01/17 08:11:28,Fa003AB031492,E03,50,5,4,16.10460445,0.09854355,31.90829964,0.002605135,2.58177063,33.31510968,-15.57,-1.39,1.703961539,44.86529808,17.03961539,0.567676656,448.6529808,14.94692326
cousins_pheno_0,2019/01/17 08:11:28,Fa003AB031612,E03,50,9,4,18.88866367,0.121175465,31.8978653,0.00294451,2.381212182,30.53885054,-15.76,-1.73,2.388,43.685,23.88,0.729267751,436.85,13.34089686
cousins_pheno_0,2019/01/17 08:11:28,Fa004AA031223,E04,10,2,5,29.96547461,0.200253019,32.0502491,0.004389528,2.197801241,19.86093077,-15.47,-1.61,3.794424731,49.92277419,37.94424731,0.753608069,499.2277419,9.91512762
cousins_pheno_0,2019/01/17 08:11:28,Fa004AA031253,E04,10,3,5,21.53109132,0.109442214,31.64124107,0.002516296,2.265605206,20.71516435,-15.64,-2.18,2.835706186,48.69804124,28.35706186,0.587421197,486.9804124,10.08787928
cousins_pheno_0,2019/01/17 08:11:28,Fa004AA031283,E04,10,4,4,16.24999873,0.094639051,32.07815838,0.0025362,2.620469923,23.2778651,-15.78,-1.31,2.471053211,46.71270826,24.71053211,0.575208433,467.1270826,10.87372121
cousins_pheno_0,2019/01/17 08:11:28,Fa004AA031343,E04,10,6,5,18.02222046,0.093565811,31.88252306,0.002444664,2.572175388,22.42363152,-15.41,-2.52,2.96,48.053,29.6,0.663739493,480.53,10.77522765
cousins_pheno_0,2019/01/17 08:11:28,Fa004AC031673,E04,100,2,5,36.88077121,0.226065755,31.97148323,0.004594306,2.063661907,32.6744345,-16.21,-4.28,4.543058824,47.29839216,45.43058824,1.48441878,472.9839216,15.45448217
